id;date;data_table
168;2020/01/16 16:45:51;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-6"",""value"":""16345""},{""name"":""temperature"",""value"":""16347""},{""name"":""resistivity-2"",""value"":""16345""},{""name"":""resistivity-3"",""value"":""16359""}]}]"
169;2020/01/16 16:52:58;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16329""},{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""}]}]"
170;2020/01/16 16:57:04;"[{""table_modbus"":[{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-6"",""value"":""16345""}]}]"
171;2020/01/16 16:57:40;"[{""table_modbus"":[{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-6"",""value"":""16345""},{""name"":""temperature"",""value"":""16347""},{""name"":""resistivity-2"",""value"":""16345""}]}]"
172;2020/01/16 16:57:55;"[{""table_modbus"":[{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-6"",""value"":""16345""},{""name"":""temperature"",""value"":""16347""},{""name"":""resistivity-2"",""value"":""16345""}]}]"
173;2020/01/16 16:58:01;"[{""table_modbus"":[{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-6"",""value"":""16345""},{""name"":""temperature"",""value"":""16347""},{""name"":""resistivity-2"",""value"":""16345""}]}]"
174;2020/01/16 16:58:05;"[{""table_modbus"":[{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-6"",""value"":""16345""},{""name"":""temperature"",""value"":""16347""},{""name"":""resistivity-2"",""value"":""16345""}]}]"
175;2020/01/16 16:59:04;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16329""},{""name"":""capitance-4"",""value"":""16329""}]}]"
176;2020/01/16 16:59:10;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16329""},{""name"":""capitance-4"",""value"":""16329""}]}]"
177;2020/01/16 17:00:13;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-6"",""value"":""16345""}]}]"
178;2020/01/16 17:00:57;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-6"",""value"":""16345""},{""name"":""resistivity-2"",""value"":""16345""}]}]"
179;2020/01/16 17:02:39;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-6"",""value"":""16345""},{""name"":""resistivity-2"",""value"":""16345""}]}]"
180;2020/01/16 18:40:02;"[{""table_modbus"":["
181;2020/01/16 18:46:41;"[{""table_modbus"":[{""name"":""resistivity-4"",""value"":""16342""},{""name"":""resistivity-5"",""value"":""16377""},{""name"":""resistivity-6"",""value"":""8836""}]}]"
182;2020/01/16 18:47:33;"[{""table_modbus"":[{""name"":""capitance-2"",""value"":""16335""},{""name"":""capitance-3"",""value"":""16377""},{""name"":""resistivity-4"",""value"":""16342""},{""name"":""resistivity-5"",""value"":""16377""},{""name"":""resistivity-6"",""value"":""8836""}]}]"
183;2020/01/16 18:47:56;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-2"",""value"":""16335""},{""name"":""capitance-3"",""value"":""16377""},{""name"":""resistivity-4"",""value"":""16342""},{""name"":""resistivity-5"",""value"":""16377""},{""name"":""resistivity-6"",""value"":""8836""}]}]"
184;2020/01/16 18:49:11;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-2"",""value"":""16335""},{""name"":""capitance-3"",""value"":""16377""},{""name"":""resistivity-4"",""value"":""16342""}]}]"
185;2020/01/16 18:49:55;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""capitance-2"",""value"":""16335""},{""name"":""capitance-3"",""value"":""16377""},{""name"":""resistivity-4"",""value"":""16342""}]}]"
186;2020/01/16 18:49:57;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-2"",""value"":""16335""},{""name"":""capitance-3"",""value"":""16377""},{""name"":""resistivity-4"",""value"":""16342""}]}]"
187;2020/01/16 18:50:42;"[{""table_modbus"":[{""name"":""capitance-2"",""value"":""16335""},{""name"":""capitance-3"",""value"":""16377""},{""name"":""resistivity-4"",""value"":""16342""}]}]"
188;2020/01/16 18:50:49;"[{""table_modbus"":[{""name"":""capitance-2"",""value"":""16335""},{""name"":""capitance-3"",""value"":""16377""},{""name"":""resistivity-4"",""value"":""16342""}]}]"
189;2020/01/16 18:50:52;"[{""table_modbus"":[{""name"":""capitance-2"",""value"":""16335""},{""name"":""capitance-3"",""value"":""16377""},{""name"":""resistivity-4"",""value"":""16342""},{""name"":""resistivity-5"",""value"":""16377""}]}]"
190;2020/01/16 18:51:43;"[{""table_modbus"":[{""name"":""resistivity-3"",""value"":""16359""},{""name"":""capitance-2"",""value"":""16335""},{""name"":""capitance-3"",""value"":""16377""},{""name"":""resistivity-4"",""value"":""16342""},{""name"":""resistivity-5"",""value"":""16377""}]}]"
191;2020/01/16 18:52:04;"[{""table_modbus"":[{""name"":""resistivity-3"",""value"":""16359""},{""name"":""resistivity-4"",""value"":""16342""},{""name"":""resistivity-5"",""value"":""16377""}]}]"
192;2020/01/17 16:41:37;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""laminar_1H"",""value"":""1""},{""name"":""laminar_1L"",""value"":""2386""},{""name"":""turbulent_1H"",""value"":""0""},{""name"":""turbulent_1L"",""value"":""9830""},{""name"":""turb_laminar_1H"",""value"":""0""},{""name"":""turb_laminar_1L"",""value"":""9830""}]}]"
193;2020/01/17 16:41:55;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""laminar_1H"",""value"":""1""},{""name"":""laminar_1L"",""value"":""2386""},{""name"":""turbulent_1H"",""value"":""0""},{""name"":""turbulent_1L"",""value"":""9830""},{""name"":""turb_laminar_1H"",""value"":""0""},{""name"":""turb_laminar_1L"",""value"":""9830""}]}]"
194;2020/01/17 16:45:59;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""laminar_1H"",""value"":""1""},{""name"":""laminar_1L"",""value"":""2386""},{""name"":""turbulent_1H"",""value"":""0""},{""name"":""turbulent_1L"",""value"":""9830""},{""name"":""turb_laminar_1H"",""value"":""0""},{""name"":""turb_laminar_1L"",""value"":""9830""}]}]"
195;2020/01/17 16:46:53;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""laminar_1H"",""value"":""1""},{""name"":""laminar_1L"",""value"":""2386""},{""name"":""turbulent_1H"",""value"":""0""},{""name"":""turbulent_1L"",""value"":""9830""},{""name"":""turb_laminar_1H"",""value"":""0""},{""name"":""turb_laminar_1L"",""value"":""9830""}]}]"
196;2020/01/17 16:48:27;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""laminar_1H"",""value"":""1""},{""name"":""laminar_1L"",""value"":""2386""},{""name"":""turbulent_1H"",""value"":""0""},{""name"":""turbulent_1L"",""value"":""9830""},{""name"":""turb_laminar_1H"",""value"":""0""},{""name"":""turb_laminar_1L"",""value"":""9830""},{""name"":""flow_regimen"",""value"":""12""}]}]"
197;2020/01/17 16:50:34;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""laminar_1H"",""value"":""1""},{""name"":""laminar_1L"",""value"":""2386""},{""name"":""turbulent_1H"",""value"":""0""},{""name"":""turbulent_1L"",""value"":""9830""},{""name"":""turb_laminar_1H"",""value"":""0""},{""name"":""turb_laminar_1L"",""value"":""9830""},{""name"":""flow_regimen"",""value"":""12""},{""name"":""resistivity-2_1H"",""value"":""16344""},{""name"":""resistivity-2_1L"",""value"":""0000""}]}]"
198;2020/01/17 16:51:39;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""laminar_1H"",""value"":""1""},{""name"":""laminar_1L"",""value"":""2386""},{""name"":""turbulent_1H"",""value"":""0""},{""name"":""turbulent_1L"",""value"":""9830""},{""name"":""turb_laminar_1H"",""value"":""0""},{""name"":""turb_laminar_1L"",""value"":""9830""},{""name"":""flow_regimen"",""value"":""12""},{""name"":""resistivity-2_1H"",""value"":""16344""},{""name"":""resistivity-2_1L"",""value"":""0000""},{""name"":""resistivity-3"",""value"":""16358""}]}]"
199;2020/01/17 16:52:30;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""laminar_1H"",""value"":""1""},{""name"":""laminar_1L"",""value"":""2386""},{""name"":""turbulent_1H"",""value"":""0""},{""name"":""turbulent_1L"",""value"":""9830""},{""name"":""turb_laminar_1H"",""value"":""0""},{""name"":""turb_laminar_1L"",""value"":""9830""},{""name"":""flow_regimen"",""value"":""12""},{""name"":""resistivity-2"",""value"":""16344""},{""name"":""resistivity-3"",""value"":""16358""}]}]"
200;2020/01/17 17:00:31;"[{""table_modbus"":[{""name"":""capitance-5"",""value"":""16341""}]}]"
201;2020/01/17 17:15:20;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""capitance-4"",""value"":""16329""}]}]"
202;2020/01/17 17:15:53;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""capitance-4"",""value"":""16329""}]}]"
203;2020/01/17 17:17:08;"[{""table_modbus"":["
204;2020/01/17 17:17:18;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""}]}]"
205;2020/01/17 17:17:28;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""}]}]"
206;2020/01/17 17:21:13;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""}]}]"
207;2020/01/17 17:22:25;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""}]}]"
208;2020/01/17 17:23:31;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""}]}]"
209;2020/01/17 17:23:47;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""}]}]"
210;2020/01/17 17:24:41;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""capitance-4"",""value"":""16329""},{""name"":""turbulent_1H"",""value"":""0""},{""name"":""turbulent_1L"",""value"":""9830""}]}]"
211;2020/01/17 17:25:15;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""capitance-4"",""value"":""16329""},{""name"":""turbulent_1H"",""value"":""0""},{""name"":""turbulent_1L"",""value"":""9830""},{""name"":""turb_laminar_1H"",""value"":""0""},{""name"":""turb_laminar_1L"",""value"":""9830""},{""name"":""flow_regimen"",""value"":""12""},{""name"":""watercut_1H"",""value"":""0""},{""name"":""watercut_1L"",""value"":""9830""}]}]"
212;2020/01/17 17:25:50;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""capitance-4"",""value"":""16329""},{""name"":""turbulent_1H"",""value"":""0""},{""name"":""turbulent_1L"",""value"":""9830""},{""name"":""flow_regimen"",""value"":""12""},{""name"":""watercut_1H"",""value"":""0""},{""name"":""watercut_1L"",""value"":""9830""}]}]"
213;2020/01/18 13:10:31;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16341""}]}]"
214;2020/01/18 13:13:41;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16341""},{""name"":""capitance-6"",""value"":""16344""},{""name"":""temperature"",""value"":""16347""}]}]"
215;2020/02/26 09:18:13;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""capitance-4"",""value"":""16377""},{""name"":""capitance-5"",""value"":""16342""},{""name"":""temperature"",""value"":""8834""},{""name"":""resistivity-3"",""value"":""16342""}]}]"
216;2020/09/18 12:05:21;"[{""table_modbus"":["
217;2020/09/18 12:20:58;"[{""table_modbus"":[{""name"":""ph"",""value"":""6600""},{""name"":""dissolved-oxygen"",""value"":""9600""},{""name"":""tss-180"",""value"":""3040""},{""name"":""tss-90"",""value"":""3600""},{""name"":""temperature"",""value"":""9460""},{""name"":""oil-water"",""value"":""1460""},{""name"":""conductivity-AC"",""value"":""12600""},{""name"":""conductivity-DC"",""value"":""1600""}]}]"
218;2020/09/18 12:36:43;"[{""table_modbus"":[{""name"":""ph"",""value"":""6600""},{""name"":""dissolved-oxygen"",""value"":""9600""},{""name"":""tss-180"",""value"":""3040""},{""name"":""tss-90"",""value"":""3600""},{""name"":""temperature"",""value"":""9460""},{""name"":""oil-water"",""value"":""1460""},{""name"":""conductivity-AC"",""value"":""12600""},{""name"":""conductivity-DC"",""value"":""1600""}]}]"
219;2020/09/18 12:37:30;"[{""table_modbus"":[{""name"":""ph"",""value"":""6600""},{""name"":""dissolved-oxygen"",""value"":""9600""},{""name"":""tss-180"",""value"":""3040""},{""name"":""tss-90"",""value"":""3600""},{""name"":""temperature"",""value"":""9460""},{""name"":""oil-water"",""value"":""1460""},{""name"":""conductivity-AC"",""value"":""12600""},{""name"":""conductivity-DC"",""value"":""1600""}]}]"
220;2020/09/18 12:38:03;"[{""table_modbus"":[{""name"":""ph"",""value"":""6600""},{""name"":""dissolved-oxygen"",""value"":""9600""},{""name"":""tss-180"",""value"":""3040""},{""name"":""tss-90"",""value"":""3600""},{""name"":""temperature"",""value"":""9460""},{""name"":""oil-water"",""value"":""1460""},{""name"":""conductivity-AC"",""value"":""12600""},{""name"":""conductivity-DC"",""value"":""1600""}]}]"
221;2020/09/18 12:39:53;"[{""table_modbus"":[{""name"":""ph"",""value"":""6600""},{""name"":""dissolved-oxygen"",""value"":""9600""},{""name"":""tss-180"",""value"":""3040""},{""name"":""tss-90"",""value"":""3600""},{""name"":""temperature"",""value"":""9460""},{""name"":""oil-water"",""value"":""1460""},{""name"":""conductivity-AC"",""value"":""12600""},{""name"":""conductivity-DC"",""value"":""1600""}]}]"
222;2020/09/18 14:38:33;"[{""table_modbus"":[{""name"":""ph"",""value"":""6600""},{""name"":""dissolved-oxygen"",""value"":""9600""},{""name"":""tss-180"",""value"":""3040""},{""name"":""tss-90"",""value"":""3600""},{""name"":""temperature"",""value"":""9460""},{""name"":""oil-water"",""value"":""1460""},{""name"":""conductivity-AC"",""value"":""12600""},{""name"":""conductivity-DC"",""value"":""1600""}]}]"
223;2020/09/18 14:47:44;"[{""table_modbus"":[{""name"":""ph"",""value"":""6900""},{""name"":""dissolved-oxygen"",""value"":""11900""},{""name"":""tss-180"",""value"":""3010""},{""name"":""tss-90"",""value"":""3900""},{""name"":""temperature"",""value"":""9490""},{""name"":""oil-water"",""value"":""1490""},{""name"":""conductivity-AC"",""value"":""12900""},{""name"":""conductivity-DC"",""value"":""1900""}]}]"
224;2020/09/18 15:08:10;"[{""table_modbus"":[{""name"":""ph"",""value"":""6900""},{""name"":""dissolved-oxygen"",""value"":""11900""},{""name"":""tss-180"",""value"":""3010""},{""name"":""tss-90"",""value"":""3900""},{""name"":""temperature"",""value"":""9490""},{""name"":""oil-water"",""value"":""1490""},{""name"":""conductivity-AC"",""value"":""12900""},{""name"":""conductivity-DC"",""value"":""1900""}]}]"
225;2020/09/18 15:08:58;"[{""table_modbus"":[{""name"":""ph"",""value"":""6900""},{""name"":""dissolved-oxygen"",""value"":""11900""},{""name"":""tss-180"",""value"":""3010""},{""name"":""tss-90"",""value"":""3900""},{""name"":""temperature"",""value"":""9490""},{""name"":""oil-water"",""value"":""1490""},{""name"":""conductivity-AC"",""value"":""12900""},{""name"":""conductivity-DC"",""value"":""1900""}]}]"
