id;fecha;resistivity-1;capitance-4;temperature;laminar_1H;laminar_1L;capitance-5;resistivity-3;capitance-1;resistivity-2;capitance-6;resistivity-4;resistivity-5;resistivity-6;capitance-2;capitance-3;turbulent_1H;turbulent_1L;turb_laminar_1H;turb_laminar_1L;flow_regimen;resistivity-2_1H;resistivity-2_1L;watercut_1H;watercut_1L;ph;dissolved-oxygen;tss-180;tss-90;oil-water;conductivity-AC;conductivity-DC;ph_1H;ph_1L;dissolved-oxygen_1H;dissolved-oxygen_1L;tss-180_1H;tss-180_1L;tss-90_1H;tss-90_1L;temperature_1H;temperature_1L;oil-water_1H;oil-water_1L;conductivity-AC_1H;conductivity-AC_1L;conductivity-DC_1H;conductivity-DC_1L;water-quality_1H;water-quality_1L;PH_1H;PH_1L;Conductivity-AC_1H;Conductivity-AC_1L
181;2020/01/16 18:46:41;;;;;;;;;;;16342;16377;8836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;2020/01/16 18:47:33;;;;;;;;;;;16342;16377;8836;16335;16377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;2020/01/16 18:47:56;;16329;;;;16343;;;;;16342;16377;8836;16335;16377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;2020/01/16 18:49:11;;16329;;;;16343;;;;;16342;;;16335;16377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;2020/01/16 18:49:55;;16329;;;;16343;;;;;16342;;;16335;16377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;2020/01/16 18:49:57;;16329;;;;;;;;;16342;;;16335;16377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;2020/01/16 18:50:42;;;;;;;;;;;16342;;;16335;16377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;2020/01/16 18:50:49;;;;;;;;;;;16342;;;16335;16377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;2020/01/16 18:50:52;;;;;;;;;;;16342;16377;;16335;16377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;2020/01/16 18:51:43;;;;;;;16359;;;;16342;16377;;16335;16377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
